size,nodes,heap_adjlist,heap_adjmatrix,heap_edgelist,heap_forwardstar,bucket_adjlist,bucket_adjmatrix,bucket_edgelist,bucket_forwardstar
3,9,114,117,76,76,216,227,188,186
4,16,298,397,249,214,671,808,600,572
5,25,736,894,601,448,1355,1474,1270,694
6,36,1466,2091,1296,501,1891,2518,1770,1290
7,49,1991,2935,2137,1260,2596,3441,2649,2057
8,64,2297,4210,2935,1555,3351,4940,3844,2661
9,81,3000,6013,4454,2052,4454,7252,5909,3814
10,100,4058,9545,7429,2999,6696,12121,9888,5810
11,121,6147,15872,12540,4577,9901,19464,15829,8598
12,144,8750,25014,19761,6504,14001,30065,24444,12084
13,169,12427,38553,31093,9249,19140,44720,36629,16518
14,196,16896,56887,46419,12592,25780,65111,53808,22272
15,225,22460,82834,67525,16901,33851,92997,77145,29310
16,256,29121,117031,96084,21796,43757,129394,108565,37764
17,289,37097,163276,135454,27776,57699,180488,151578,46853
18,324,46865,223981,185920,34999,69886,242200,204735,58294
19,361,59108,301846,253134,44710,86398,322777,275175,72508
20,400,72584,402501,368167,54617,109492,428304,363772,88090
21,441,89055,529605,449642,67601,134647,561841,480182,108761
22,484,108883,688689,588193,82462,156695,721635,620468,129237
23,529,132177,890667,761877,100480,188715,928639,796684,153453
24,576,155649,1117695,983520,119349,219639,1173907,1014034,181738
25,625,186058,1427622,1229953,143452,266046,1467642,1276354,213647
26,676,216555,1777719,1537779,165457,299539,1831949,1640873,251978
27,729,250886,2201987,1910752,189274,351788,2251256,1981467,298724
28,784,451390,2758178,2474016,223032,411521,2833531,2594537,359350
29,841,340947,3473630,2918323,256886,463383,3378498,2978336,388731
30,900,386706,4097228,3639867,299976,541372,4177788,3688751,559937
